height,reach,weight,primary_division,basic_info_hometown,basic_info_name,basic_info_nationality,basic_info_nickname,fight_history_professional_count,fight_history_professional_draw_count,fight_history_professional_loss_count,fight_history_professional_nc_count,fight_history_professional_win_count,record_summary_draws,record_summary_losses_decision_percentage,record_summary_losses_decisions,record_summary_losses_knockouts,record_summary_losses_ko_percentage,record_summary_losses_others,record_summary_losses_submission_percentage,record_summary_losses_submissions,record_summary_losses_total,record_summary_no_contests,record_summary_wins_decision_percentage,record_summary_wins_decisions,record_summary_wins_knockouts,record_summary_wins_ko_percentage,record_summary_wins_others,record_summary_wins_submission_percentage,record_summary_wins_submissions,record_summary_wins_total,record_summary_win_ratio
193.04,195.58,106.59412,Heavyweight,"Salvador, Bahia",Jailton Almeida,Brazil,Malhadinho,25,0,3,0,22,0,33,1,2,66,0,0,0,3,0,4,1,8,36,0,59,13,22,0.88
177.8,180.34,69.853168,Lightweight,"Grove City, Ohio",Jon Washington,United States,The Beast,9,0,4,0,5,0,75,3,1,25,0,0,0,4,0,0,0,1,20,0,80,4,5,0.5555555555555556
172.72,175.26,77.11064,Welterweight,"Omaha, Nebraska",Marcos Marquez,United States,,10,0,4,0,6,0,50,2,1,25,0,25,1,4,0,16,1,2,33,0,50,3,6,0.6
172.72,175.26,70.30676,Lightweight,"Fairbanks, Alaska",Scott McAfee,United States,,21,0,7,0,14,0,42,3,0,0,0,57,4,7,0,14,2,5,35,0,50,7,14,0.6666666666666666
180.34,182.88,61.23492,Bantamweight,"Sorocaba, Sao Paulo",Carlos Eduardo     Silva,Brazil,,2,0,2,0,0,0,0,0,1,50,0,50,1,2,0,0,0,0,0,0,0,0,0,0.0
172.72,175.26,70.30676,Lightweight,"Surprise, Arizona",Chris Gruetzemacher,United States,Gritz,20,0,5,0,15,0,0,0,1,20,0,80,4,5,0,33,5,7,46,0,20,3,15,0.75
167.64,170.18,61.23492,Bantamweight,"Castanhal, Para",Jonas dos Santos,Brazil,Diabo Loiro,45,2,15,0,28,2,53,8,7,46,0,0,0,15,0,14,4,7,25,0,60,17,28,0.6511627906976745
170.18,172.72,65.77083999999999,Featherweight,"Sao Paulo, Sao Paulo",Robson Silva,Brazil,Punk,26,1,13,1,11,1,23,3,9,69,0,7,1,13,1,27,3,0,0,1,63,7,11,0.4583333333333333
182.88,185.42,77.11064,Welterweight,"Chesterfield, Derbyshire",Sam Boult,England,The Snake,15,0,4,0,11,0,75,3,1,25,0,0,0,4,0,27,3,2,18,0,54,6,11,0.7333333333333333
180.34,182.88,70.30676,Lightweight,"Brasilia, Federal District",Renato Carneiro,Brazil,Money Moicano,27,1,6,0,20,1,16,1,3,50,0,33,2,6,0,40,8,2,10,0,50,10,20,0.7692307692307693
170.18,172.72,57.152592,Bantamweight,"Pekanbaru, Riau",Ronal Siahaan,Indonesia,Naga Sakti,10,0,2,0,8,0,50,1,0,0,0,50,1,2,0,37,3,5,62,0,0,0,8,0.8
167.64,170.18,61.23492,Bantamweight,"Satsumasendai, Kagoshima",Yuya Wakamatsu,Japan,Little Piranha,25,0,6,0,19,0,16,1,2,33,0,50,3,6,0,31,6,13,68,0,0,0,19,0.76
170.18,172.72,65.77083999999999,Featherweight,"Curitiba, Parana",Vinicius Mitsuo Morinishi,Brazil,Beterraba,7,0,3,0,4,0,0,0,2,66,0,33,1,3,0,75,3,1,25,0,0,0,4,0.5714285714285714
162.56,165.1,56.699,Flyweight,"Lindenwood, Missouri",Josh Sampo,United States,The Gremlin,17,0,6,0,11,0,66,4,1,16,0,16,1,6,0,45,5,0,0,0,54,6,11,0.6470588235294118
167.64,170.18,65.77083999999999,Featherweight,Ibaraki,Michihiro Omigawa,Japan,Michi,35,1,15,0,19,1,80,12,2,13,0,6,1,15,0,47,9,5,26,0,26,5,19,0.5588235294117647
200.66,203.2,141.520704,Heavyweight,"Indianapolis, Indiana",Sean McCorkle,United States,Big Sexy,24,0,7,0,17,0,14,1,3,42,0,42,3,7,0,5,1,8,47,0,47,8,17,0.7083333333333334
193.04,195.58,102.0582,Heavyweight,"Staten Island, New York",Ricco Rodriguez,United States,Suave,82,0,27,1,54,0,55,15,12,44,0,0,0,27,1,22,12,19,35,0,42,23,54,0.6666666666666666
185.42,187.96,65.77083999999999,Featherweight,Delaware,Shan Cella,United States,Bachok,2,0,1,0,1,0,0,0,0,0,0,100,1,1,0,100,1,0,0,0,0,0,1,0.5
172.72,175.26,63.956472,Featherweight,"Stockton, California",Chelsea Chandler,United States,,9,0,3,0,6,0,100,3,0,0,0,0,0,3,0,50,3,2,33,0,16,1,6,0.6666666666666666
190.5,193.04,83.91452,Middleweight,"Victoria, British Columbia",Ryan Janes,Canada,,13,0,3,0,10,0,66,2,0,0,0,33,1,3,0,20,2,2,20,0,60,6,10,0.7692307692307693
