_meta_filepath,_meta_has_ufc_fights,_meta_is_active_ufc,_meta_scraped_at,_meta_total_fights,_meta_weight_class,basic_info_date_of_birth,basic_info_hometown,basic_info_name,basic_info_nationality,basic_info_nickname,fight_history_exhibition,fight_history_professional_count,fight_history_professional_draw_count,fight_history_professional_loss_count,fight_history_professional_nc_count,fight_history_professional_win_count,filename,gender,height,primary_division,profile_url,reach,record_summary_draws,record_summary_losses_decision_percentage,record_summary_losses_decisions,record_summary_losses_knockouts,record_summary_losses_ko_percentage,record_summary_losses_others,record_summary_losses_submission_percentage,record_summary_losses_submissions,record_summary_losses_total,record_summary_no_contests,record_summary_wins_decision_percentage,record_summary_wins_decisions,record_summary_wins_knockouts,record_summary_wins_ko_percentage,record_summary_wins_others,record_summary_wins_submission_percentage,record_summary_wins_submissions,record_summary_wins_total,scraped_at,weight
./data/don_shainis_59975.json,True,False,2025-04-13T21:05:00.854838,23,Unknown,"Sep 16, 1991","Stoughton, Massachusetts",Don Shainis,United States,Shameless,[],23,0,8,0,15,don_shainis_59975.json,Male,"5'6""",Featherweight,https://www.sherdog.com/fighter/Don-Shainis-59975,"67""",0,37,3,3,37,0,25,2,8,0,26,4,8,53,0,20,3,15,2025-04-13T21:05:00.854838,145.0
./data/jorge_rodrigues_83971.json,,,2025-04-13T17:44:26.004513,,Unknown,,"Castanhal, Para",Jorge Rodrigues,Brazil,Pantera,[],2,0,2,0,0,jorge_rodrigues_83971.json,Male,"0'0""",Lightweight,https://www.sherdog.com/fighter/Jorge-Rodrigues-83971,"1""",0,0,0,0,0,0,100,2,2,0,0,0,0,0,0,0,0,0,2025-04-13T17:44:26.004513,155.0
./data/hamzat_bukiev_90739.json,,,2025-04-13T16:49:07.374848,,Unknown,,,Hamzat Bukiev,Russia,,[],3,0,0,0,3,hamzat_bukiev_90739.json,Female,"0'0""",Atomweight,https://www.sherdog.com/fighter/Hamzat-Bukiev-90739,"1""",0,0,0,0,0,0,0,0,0,0,33,1,2,66,0,0,0,3,2025-04-13T16:49:07.374848,0.0
./data/talita_alencar_386905.json,True,False,2025-04-13T21:26:12.942935,8,Unknown,"Oct 17, 1990","Carutapera, Maranhao",Talita Alencar,Brazil,Problem Child,[],8,1,1,0,6,talita_alencar_386905.json,Female,"5'0""",Strawweight,https://www.sherdog.com/fighter/Talita-Alencar-386905,"61""",1,100,1,0,0,0,0,0,1,0,50,3,0,0,0,50,3,6,2025-04-13T21:26:12.942935,115.0
./data/rhys_mckee_145609.json,,,2025-04-13T18:13:32.612597,,Unknown,"Sep 10, 1995",Ballymena,Rhys McKee,Ireland,Skeletor,[],21,1,6,0,14,rhys_mckee_145609.json,Male,"6'1""",Welterweight,https://www.sherdog.com/fighter/Rhys-McKee-145609,"74""",1,66,4,2,33,0,0,0,6,0,0,0,11,78,0,21,3,14,2025-04-13T18:13:32.612597,170.0
./data/dillon_moore_184823.json,,,2025-04-13T17:36:13.156651,,Unknown,"May 12, 1992","Placerville, California",Dillon Moore,United States,,[],3,0,0,0,3,dillon_moore_184823.json,Male,"5'11""",Lightweight,https://www.sherdog.com/fighter/Dillon-Moore-184823,"72""",0,0,0,0,0,0,0,0,0,0,0,0,3,100,0,0,0,3,2025-04-13T17:36:13.156651,155.0
./data/steve_bosse_22732.json,,,2025-04-13T15:22:46.044453,,Unknown,"Jul 29, 1981","Montreal, Quebec",Steve Bosse,Canada,The Boss,[],14,0,2,0,12,steve_bosse_22732.json,Male,"5'11""",Light Heavyweight,https://www.sherdog.com/fighter/Steve-Bosse-22732,"72""",0,0,0,2,100,0,0,0,2,0,16,2,9,75,0,8,1,12,2025-04-13T15:22:46.044453,202.0
./data/dan_lauzon_16556.json,,,2025-04-13T15:39:29.238981,,Unknown,"Mar 30, 1988","Bridgewater, Massachusetts",Dan Lauzon,United States,The Upgrade,[],23,0,6,0,17,dan_lauzon_16556.json,Male,"5'10""",Welterweight,https://www.sherdog.com/fighter/Dan-Lauzon-16556,"71""",0,16,1,3,50,0,33,2,6,0,5,1,9,52,0,41,7,17,2025-04-13T15:39:29.238981,170.0
./data/jose_luis_zapater_8618.json,,,2025-04-13T17:53:15.160227,,Unknown,"May 20, 1977","Barcelona, Catalonia",Jose Luis Zapater,Spain,Titin,[],33,0,13,0,20,jose_luis_zapater_8618.json,Male,"0'0""",Featherweight,https://www.sherdog.com/fighter/Jose-Luis-Zapater-8618,"1""",0,0,0,9,69,2,15,2,13,0,40,8,3,15,2,35,7,20,2025-04-13T17:53:15.160227,145.0
./data/david_hubert_therrien_161315.json,,,2025-04-13T19:21:32.167691,,Unknown,"Mar 4, 1991","Trois-Rivieres, Quebec",David Hubert Therrien,Canada,The Madman,[],6,0,6,0,0,david_hubert_therrien_161315.json,Male,"5'9""",Welterweight,https://www.sherdog.com/fighter/David-Hubert-Therrien-161315,"70""",0,0,0,2,33,0,66,4,6,0,0,0,0,0,0,0,0,0,2025-04-13T19:21:32.167691,164.0
./data/sara_mcmann_67094.json,True,False,2025-04-13T21:19:07.507647,21,Unknown,"Sep 24, 1980","Gaffney, South Carolina",Sara McMann,United States,,[],21,0,7,0,14,sara_mcmann_67094.json,Male,"5'5""",Featherweight,https://www.sherdog.com/fighter/Sara-McMann-67094,"66""",0,14,1,2,28,0,57,4,7,0,57,8,2,14,0,28,4,14,2025-04-13T21:19:07.507647,145.0
./data/da_mon_blackshear_243891.json,,,2025-04-13T16:10:42.726383,,Unknown,"Aug 12, 1994","Fayetteville, North Carolina",Da'Mon Blackshear,United States,Da Monster,[],24,1,7,0,16,da_mon_blackshear_243891.json,Male,"5'10""",Bantamweight,https://www.sherdog.com/fighter/DaMon-Blackshear-243891,"71""",1,85,6,1,14,0,0,0,7,0,18,3,2,12,0,68,11,16,2025-04-13T16:10:42.726383,135.0
./data/brandon_carlson_6864.json,,,2025-04-13T17:09:41.561866,,Unknown,,"Stratford, Wisconsin",Brandon Carlson,United States,,[],13,0,4,0,9,brandon_carlson_6864.json,Male,"5'9""",Lightweight,https://www.sherdog.com/fighter/Brandon-Carlson-6864,"70""",0,0,0,0,0,0,100,4,4,0,0,0,4,44,1,44,4,9,2025-04-13T17:09:41.561866,155.0
./data/ronnie_bryson_76864.json,,,2025-04-13T19:04:56.378110,,Unknown,,,Ronnie Bryson,,,[],1,0,1,0,0,ronnie_bryson_76864.json,Male,"0'0""",Welterweight,https://www.sherdog.com/fighter/Ronnie-Bryson-76864,"1""",0,0,0,1,100,0,0,0,1,0,0,0,0,0,0,0,0,0,2025-04-13T19:04:56.378110,170.0
./data/todd_brown_21887.json,True,False,2025-04-13T20:19:58.892164,21,Unknown,"Dec 13, 1976","Mishawaka, Indiana",Todd Brown,United States,Bulldog,[],21,0,4,1,16,todd_brown_21887.json,Male,"5'11""",Middleweight,https://www.sherdog.com/fighter/Todd-Brown-21887,"72""",0,75,3,1,25,0,0,0,4,1,18,3,7,43,0,37,6,16,2025-04-13T20:19:58.892164,185.0
./data/bryan_caraway_13791.json,,,2025-04-13T16:11:09.444792,,Unknown,"Aug 4, 1984","Seattle, Washington",Bryan Caraway,United States,Kid Lightning,[],31,0,9,0,22,bryan_caraway_13791.json,Male,"5'9""",Bantamweight,https://www.sherdog.com/fighter/Bryan-Caraway-13791,"70""",0,55,5,2,22,0,22,2,9,0,18,4,2,9,0,72,16,22,2025-04-13T16:11:09.444792,135.0
./data/kiefer_crosbie_61160.json,True,False,2025-04-13T21:10:09.992304,15,Unknown,"Apr 5, 1990",Dublin,Kiefer Crosbie,Ireland,BDK,[],15,0,5,0,10,kiefer_crosbie_61160.json,Male,"6'0""",Welterweight,https://www.sherdog.com/fighter/Kiefer-Crosbie-61160,"73""",0,0,0,1,20,1,60,3,5,0,30,3,5,50,0,20,2,10,2025-04-13T21:10:09.992304,170.0
./data/rana_rudra_pratap_singh_300179.json,True,False,2025-04-13T21:08:01.874891,13,Unknown,"May 9, 1997","Lucknow, Uttar Pradesh",Rana Rudra Pratap Singh,India,Ashwathama,[],13,0,2,0,11,rana_rudra_pratap_singh_300179.json,Male,"5'10""",Featherweight,https://www.sherdog.com/fighter/Rana-Rudra-Pratap-Singh-300179,"71""",0,0,0,2,100,0,0,0,2,0,0,0,3,27,0,72,8,11,2025-04-13T21:08:01.874891,136.0
./data/tokimitsu_ishizawa_329.json,False,False,2025-04-13T21:41:56.921005,7,Unknown,"Aug 5, 1968","Tokiwa, Aomori",Tokimitsu Ishizawa,Japan,Kendo Kashin,[],7,1,5,0,1,tokimitsu_ishizawa_329.json,Male,"6'0""",Light Heavyweight,https://www.sherdog.com/fighter/Tokimitsu-Ishizawa-329,"73""",1,0,0,4,80,0,20,1,5,0,0,0,1,100,0,0,0,1,2025-04-13T21:41:56.921005,187.0
